time_iso8601,forks_cumulative
2024-08-20 00:00:00+00:00,40745
2024-08-21 00:00:00+00:00,40757
2024-08-22 00:00:00+00:00,40771
2024-08-23 00:00:00+00:00,40780
2024-08-24 00:00:00+00:00,40787
2024-08-25 00:00:00+00:00,40798
2024-08-26 00:00:00+00:00,40810
2024-08-27 00:00:00+00:00,40820
2024-08-28 00:00:00+00:00,40835
2024-08-29 00:00:00+00:00,40848
2024-08-30 00:00:00+00:00,40856
2024-08-31 00:00:00+00:00,40864
2024-09-01 00:00:00+00:00,40871
2024-09-02 00:00:00+00:00,40888
2024-09-03 00:00:00+00:00,40901
2024-09-04 00:00:00+00:00,40916
2024-09-05 00:00:00+00:00,40921
2024-09-06 00:00:00+00:00,40934
2024-09-07 00:00:00+00:00,40947
2024-09-08 00:00:00+00:00,40957
2024-09-09 00:00:00+00:00,40968
2024-09-10 00:00:00+00:00,40973
2024-09-11 00:00:00+00:00,40979
2024-09-12 00:00:00+00:00,40995
2024-09-13 00:00:00+00:00,41009
2024-09-14 00:00:00+00:00,41019
2024-09-15 00:00:00+00:00,41041
2024-09-16 00:00:00+00:00,41056
2024-09-17 00:00:00+00:00,41067
2024-09-18 00:00:00+00:00,41089
2024-09-19 00:00:00+00:00,41117
2024-09-20 00:00:00+00:00,41138
2024-09-21 00:00:00+00:00,41149
2024-09-22 00:00:00+00:00,41170
2024-09-23 00:00:00+00:00,41192
2024-09-24 00:00:00+00:00,41208
2024-09-25 00:00:00+00:00,41224
2024-09-26 00:00:00+00:00,41230
2024-09-27 00:00:00+00:00,41239
2024-09-28 00:00:00+00:00,41246
2024-09-29 00:00:00+00:00,41257
2024-09-30 00:00:00+00:00,41267
2024-10-01 00:00:00+00:00,41273
2024-10-02 00:00:00+00:00,41289
2024-10-03 00:00:00+00:00,41310
2024-10-04 00:00:00+00:00,41317
2024-10-05 00:00:00+00:00,41325
2024-10-06 00:00:00+00:00,41338
2024-10-07 00:00:00+00:00,41349
2024-10-08 00:00:00+00:00,41360
2024-10-09 00:00:00+00:00,41369
2024-10-10 00:00:00+00:00,41377
2024-10-11 00:00:00+00:00,41386
2024-10-12 00:00:00+00:00,41402
2024-10-13 00:00:00+00:00,41405
2024-10-14 00:00:00+00:00,41417
2024-10-15 00:00:00+00:00,41430
2024-10-16 00:00:00+00:00,41443
2024-10-17 00:00:00+00:00,41447
2024-10-18 00:00:00+00:00,41457
2024-10-19 00:00:00+00:00,41466
2024-10-20 00:00:00+00:00,41474
2024-10-21 00:00:00+00:00,41483
2024-10-22 00:00:00+00:00,41491
2024-10-23 00:00:00+00:00,41498
2024-10-24 00:00:00+00:00,41516
2024-10-25 00:00:00+00:00,41529
2024-10-26 00:00:00+00:00,41540
